,uuid,title,description,station,station_code,show_priority,show_times,since,till
745,516e7daf-0a4f-3657-81ee-4a5065351384,Aktuální reportáže a nejrychlejší zpravodajství,Moderuje Hanka Shánělová.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-08 13:06:00+02:00,2023-06-08 14:00:00+02:00
746,3656a34e-3b14-3275-8cd1-4334af36d2f8,Aktuální reportáže a nejrychlejší zpravodajství,Moderuje Hanka Shánělová.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-08 14:06:00+02:00,2023-06-08 15:00:00+02:00
747,5428485d-234c-37a0-bfb0-e3f8fba1498e,Aktuální reportáže a nejrychlejší zpravodajství,Moderuje Hanka Shánělová.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-08 15:06:00+02:00,2023-06-08 16:00:00+02:00
748,060d7223-fe36-336d-92b2-6931725f2b9b,"Aktuální reportáže, nejrychlejší zpravodajství i ekonomické aktuality",Moderuje Štěpán Pokorný.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-08 16:06:00+02:00,2023-06-08 17:00:00+02:00
749,3528209b-2ace-35a5-b2cf-2c4654b5de4b,"Aktuální reportáže, nejrychlejší zpravodajství i ekonomické aktuality",Moderuje Štěpán Pokorný.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-08 17:06:00+02:00,2023-06-08 18:00:00+02:00
750,857ba8f6-79db-33db-90eb-072ce05554e3,"Aktuální reportáže, nejrychlejší zpravodajství i ekonomické aktuality",Moderuje Štěpán Pokorný.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-08 18:33:30+02:00,2023-06-08 19:00:00+02:00
751,c70f0284-ef39-31a3-9738-e3d72d7bd583,"Aktuální reportáže, nejrychlejší zpravodajství i ekonomické aktuality",Moderuje Štěpán Pokorný.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-08 19:06:00+02:00,2023-06-08 20:00:00+02:00
752,c250cd77-bf64-35ae-a0bd-ba8fee94c3df,Aktuální reportáže a nejrychlejší zpravodajství,Moderuje Hanka Shánělová.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-09 13:06:00+02:00,2023-06-09 14:00:00+02:00
753,64ec59a4-8309-3c68-8b24-858b5d6d336b,Aktuální reportáže a nejrychlejší zpravodajství,Moderuje Hanka Shánělová.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-09 14:06:00+02:00,2023-06-09 15:00:00+02:00
754,48833887-4fb0-320f-89b9-54bc74e5cb63,Aktuální reportáže a nejrychlejší zpravodajství,Moderuje Hanka Shánělová.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-09 15:06:00+02:00,2023-06-09 16:00:00+02:00
